,canton_code,canton,month,language,gender,time_period,count,sentiment
134,BS,Basel-City,10,French,Unknown,Day,14,1.0
135,BS,Basel-City,5,English,Female,Night,442,0.21266968325791852
136,BS,Basel-City,9,French,Male,Day,82,0.951219512195122
137,BS,Basel-City,1,German,Male,Night,52,0.8846153846153846
138,BS,Basel-City,1,French,Female,Day,2,1.0
139,BS,Basel-City,9,German,Unknown,Day,1528,0.9253926701570679
140,BS,Basel-City,6,English,Unknown,Day,8193,0.165140974002197
141,BS,Basel-City,10,English,Male,Day,4198,0.21414959504525968
142,BS,Basel-City,7,English,Female,Day,1105,0.21266968325791852
143,BS,Basel-City,3,German,Male,Day,283,0.9151943462897526
144,BS,Basel-City,2,French,Unknown,Night,5,1.0
145,BS,Basel-City,8,English,Unknown,Night,9592,0.16805671392827354
146,BS,Basel-City,9,English,Female,Night,902,0.18957871396895787
147,BS,Basel-City,5,German,Male,Night,175,0.9542857142857144
148,BS,Basel-City,2,English,Male,Night,1575,0.11682539682539685
149,BS,Basel-City,4,French,Unknown,Day,7,1.0
150,BS,Basel-City,5,French,Female,Day,1,1.0
151,BS,Basel-City,7,German,Male,Day,38,0.5263157894736842
152,BS,Basel-City,4,English,Male,Day,2578,0.15166795965865013
153,BS,Basel-City,6,French,Unknown,Night,5,1.0
154,BS,Basel-City,10,French,Male,Night,10,1.0
155,BS,Basel-City,10,German,Unknown,Night,780,0.9333333333333332
156,BS,Basel-City,9,German,Male,Night,100,0.94
157,BS,Basel-City,6,English,Male,Night,2162,0.13876040703052728
158,BS,Basel-City,8,French,Unknown,Day,6,1.0
159,BS,Basel-City,9,French,Female,Day,4,1.0
160,BS,Basel-City,1,German,Female,Night,39,0.8461538461538461
161,BS,Basel-City,2,French,Male,Day,1,1.0
162,BS,Basel-City,8,English,Male,Day,3510,0.21566951566951567
163,BS,Basel-City,10,English,Female,Day,1805,0.21717451523545706
164,BS,Basel-City,2,German,Unknown,Day,1114,0.9335727109515258
165,BS,Basel-City,3,German,Female,Day,199,0.9597989949748744
166,BS,Basel-City,4,French,Male,Night,8,0.75
167,BS,Basel-City,4,German,Unknown,Night,792,0.914141414141414
168,BS,Basel-City,1,English,Unknown,Night,2877,0.02780674313521029
169,BS,Basel-City,5,German,Female,Night,183,0.7814207650273224
170,BS,Basel-City,2,English,Female,Night,393,0.10941475826972012
171,BS,Basel-City,6,French,Male,Day,22,0.2727272727272727
172,BS,Basel-City,6,German,Unknown,Day,1378,0.9361393323657474
173,BS,Basel-City,10,German,Male,Day,275,0.8109090909090909
174,BS,Basel-City,3,English,Unknown,Day,5470,0.14606946983546618
175,BS,Basel-City,7,German,Female,Day,17,0.8823529411764706
176,BS,Basel-City,4,English,Female,Day,708,0.2062146892655367
177,BS,Basel-City,8,French,Male,Night,9,0.7777777777777778
178,BS,Basel-City,10,French,Female,Night,1,1.0
179,BS,Basel-City,8,German,Unknown,Night,908,0.9559471365638766
180,BS,Basel-City,5,English,Unknown,Night,5509,0.17662007623888182
181,BS,Basel-City,9,German,Female,Night,108,0.9444444444444444
182,BS,Basel-City,6,English,Female,Night,544,0.22426470588235292
183,BS,Basel-City,2,German,Male,Night,134,0.8955223880597015
184,BS,Basel-City,1,French,Unknown,Day,12,0.6666666666666666
185,BS,Basel-City,2,French,Female,Day,1,1.0
186,BS,Basel-City,7,English,Unknown,Day,9802,0.15904917363803306
187,BS,Basel-City,8,English,Female,Day,1529,0.21909744931327665
188,BS,Basel-City,4,German,Male,Day,251,0.8645418326693227
189,BS,Basel-City,1,English,Male,Day,1292,0.025541795665634675
190,BS,Basel-City,3,French,Unknown,Night,4,1.0
191,BS,Basel-City,4,French,Female,Night,2,1.0
192,BS,Basel-City,9,English,Unknown,Night,10142,0.18566357720370733
193,BS,Basel-City,6,German,Male,Night,104,0.9423076923076924
194,BS,Basel-City,3,English,Male,Night,1666,0.15366146458583432
195,BS,Basel-City,5,French,Unknown,Day,19,0.7894736842105263
196,BS,Basel-City,6,French,Female,Day,2,1.0
197,BS,Basel-City,10,German,Female,Day,345,0.8782608695652174
198,BS,Basel-City,8,German,Male,Day,269,0.7992565055762082
199,BS,Basel-City,5,English,Male,Day,2976,0.15759408602150538
200,BS,Basel-City,1,French,Male,Night,1,1.0
201,BS,Basel-City,7,English,Male,Night,1611,0.1297330850403476
202,BS,Basel-City,9,French,Unknown,Day,13,1.0
203,BS,Basel-City,1,German,Unknown,Night,292,0.7808219178082192
204,BS,Basel-City,2,German,Female,Night,100,0.9
205,BS,Basel-City,3,French,Male,Day,25,0.68
206,BS,Basel-City,10,English,Unknown,Day,15677,0.15545066020284493
207,BS,Basel-City,9,English,Male,Day,4047,0.17346182357301704
208,BS,Basel-City,3,German,Unknown,Day,1307,0.9479724560061208
209,BS,Basel-City,4,German,Female,Day,247,0.7813765182186235
210,BS,Basel-City,1,English,Female,Day,405,0.014814814814814815
211,BS,Basel-City,5,French,Male,Night,24,0.9166666666666666
212,BS,Basel-City,5,German,Unknown,Night,1000,0.946
213,BS,Basel-City,2,English,Unknown,Night,4295,0.11431897555296855
214,BS,Basel-City,6,German,Female,Night,195,0.4974358974358975
215,BS,Basel-City,3,English,Female,Night,314,0.2898089171974522
216,BS,Basel-City,7,French,Male,Day,8,0.75
217,BS,Basel-City,7,German,Unknown,Day,147,0.8639455782312925
218,BS,Basel-City,4,English,Unknown,Day,6096,0.14763779527559054
219,BS,Basel-City,8,German,Female,Day,195,0.8461538461538461
220,BS,Basel-City,10,French,Unknown,Night,7,0.7142857142857143
221,BS,Basel-City,5,English,Female,Day,1032,0.26744186046511625
222,BS,Basel-City,9,French,Male,Night,15,1.0
223,BS,Basel-City,1,German,Male,Day,118,0.8813559322033898
224,BS,Basel-City,1,French,Female,Night,1,1.0
225,BS,Basel-City,9,German,Unknown,Night,900,0.94
226,BS,Basel-City,6,English,Unknown,Night,5487,0.17186076180061965
227,BS,Basel-City,10,English,Male,Night,2103,0.20019020446980504
228,BS,Basel-City,7,English,Female,Night,523,0.2237093690248566
229,BS,Basel-City,3,German,Male,Night,144,0.9305555555555556
230,BS,Basel-City,2,French,Unknown,Day,17,0.6470588235294118
231,BS,Basel-City,8,English,Unknown,Day,13123,0.18189438390611906
232,BS,Basel-City,9,English,Female,Day,1567,0.2437779195915763
233,BS,Basel-City,5,German,Male,Day,369,0.951219512195122
234,BS,Basel-City,2,English,Male,Day,2414,0.091963545981773
235,BS,Basel-City,4,French,Unknown,Night,5,1.0
236,BS,Basel-City,7,German,Male,Night,17,0.6470588235294118
237,BS,Basel-City,4,English,Male,Night,1673,0.13030484160191272
238,BS,Basel-City,6,French,Unknown,Day,17,0.8823529411764706
239,BS,Basel-City,10,French,Male,Day,44,0.9545454545454546
240,BS,Basel-City,10,German,Unknown,Day,1207,0.935376967688484
